"combn_dim","combn_id","auc_val_posed","auc_val_spont"
3,"g10if2YnVuSHQ8KJMI23",0.829062762678622,0.829963296629963
3,"FH4SVFLoMuu1Wg7xkP2q",0.834235278958897,0.838226959378181
3,"ToejZDzv4D2OIyFbtOYB",0.819870819258324,0.837551881336327
3,"EDIZ19sV4ZjLOywvG3R4",0.876299721251272,0.798424030172414
3,"pXeC5JF4j502TWGmKCFr",0.840472111174567,0.829650012898787
3,"LnNweJd4H2TogdnO29Dn",0.838994934116014,0.815559314112764
3,"NBM8Zy4tEp5I0ty9KlGD",0.848276588276588,0.820909570062495
3,"Wn6nYy3s3LN4QUaRHkjx",0.828147581697512,0.819481895223421
3,"iknkl7sZBxdhp6BQtqXD",0.804224315572564,0.747784240409916
3,"TsqbfxXbxblsUj2SEYfd",0.84299273537035,0.833049078293805
3,"6sCdEoTAE2LmJ2pVg0pV",0.857737873535226,0.839263582486423
3,"WSz9umGnX7lY0cvVmh8E",0.828826415519964,0.865999388168713
3,"VCnfkIdpbCI2xjDdiSEp",0.817686457935599,0.85019585609731
3,"Lz3lmnG3gRSeLfUSmU44",0.876371006199332,0.844467366739082
3,"1iVqdMgU1qe6XefeKnWG",0.828552198415355,0.856274981970199
3,"CsJPlrQMQiYqvbDPCU1N",0.812904465720875,0.853457986730045
3,"KM8sTfTri7KUt6XH3rWX",0.84927926616191,0.848463401223664
3,"dpVbU09iMNCH00Q5HY5q",0.829107148094917,0.836487167158917
3,"a8XvkIbSYpc9JZX8mfNz",0.791322674418605,0.791098350886378
3,"SFmkhVspqKHkx6AgGrmO",0.809485114339134,0.867347730756544
3,"sDU7gUm0OtHdvJKUQwQf",0.841371955414889,0.873070761536358
3,"iJPkrfvDD77DxNWbxNag",0.801491894140898,0.86354108340153
3,"OtjK5n4lDl3FStzRadlq",0.845396145610278,0.833101496027193
3,"DgxrcTm9xIcCPUVacYmh",0.812527008048398,0.859597835346608
3,"o4AiIZHsYDBfETYZBrsf",0.826214747091938,0.832765207170144
3,"CzXejgmg449wimP9pnJI",0.837465373961219,0.861668024993208
3,"Osj0qpDbH0Mq4nrHN07v",0.81601818284012,0.843599041019096
3,"tmWMWJB9pEx14NluobtI",0.78755314811579,0.769205266647722
3,"f9cB4GU0yQmEbY4izKpx",0.814594972067039,0.86355285376562
3,"co61Okh9ZZ6dnBY3KHd4",0.831925733905106,0.871705930362849
